5,20,11,3.7422
7,30,17,9.8145
10,40,21,92.8666
12,50,27,232.7673
15,60,31,2207.2819
17,70,37,5484.2278
20,80,41,52380.9334
22,90,47,129580.8461
25,100,51,1243075.9519
27,110,57,3066647.5542
30,120,61,29501342.5271
32,130,67,72639351.9331
35,140,71,700160936.3355
37,150,77,1721521705.8079
40,160,81,16617339523.4235
42,170,87,40813513878.3258
45,180,91,394393840214.1521
47,190,97,967829867365.2566
50,200,101,9360569278318.838
52,210,107,22954517542684.934
55,220,111,222165670447972.7
57,230,117,544492861678455.9
60,240,121,5272948800969638.0
62,250,127,1.2916890324875248e+16
65,260,131,1.2515022327823074e+17
67,270,137,3.064476329752084e+17
70,280,141,2.970372114112646e+18
72,290,147,7.270769643111501e+18
75,300,151,7.050030796481979e+19
77,310,157,1.725143934173023e+20
80,320,161,1.6732927155994994e+21
82,330,167,4.0934297903573374e+21
85,340,171,3.971489744376243e+22
87,350,177,9.713226162302026e+22
90,360,181,9.426174730315038e+23
92,370,187,2.3048969527771526e+24
95,380,191,2.237267740249619e+25
97,390,197,5.469524412473352e+25
100,400,201,5.310076820298377e+26
102,410,207,1.2979447013256327e+27
105,420,211,1.2603290997436358e+28
107,430,217,3.080138141852389e+28
110,440,221,2.9913511466856307e+29
112,450,227,7.309549275072635e+29
115,460,231,7.099880957672119e+30
117,470,237,1.7346688711115004e+31
120,480,241,1.6851359555747003e+32
122,490,247,4.1166834498537645e+32
125,500,251,3.999622530629609e+33
