10,40,21,92.8666
10,50,31,22.2363
10,60,41,8.844
10,70,51,4.6467
10,80,61,2.8826
10,90,71,1.989
10,100,81,1.4751
10,110,91,1.1516
10,120,101,0.9336
10,130,111,0.7791
10,140,121,0.6648
10,150,131,0.5777
10,160,141,0.5093
10,170,151,0.4544
10,180,161,0.4096
10,190,171,0.3724
10,200,181,0.3411
10,210,191,0.3144
10,220,201,0.2914
10,230,211,0.2714
10,240,221,0.2538
10,250,231,0.2384
10,260,241,0.2246
10,270,251,0.2123
10,280,261,0.2012
10,290,271,0.1912
10,300,281,0.1821
10,310,291,0.1738
10,320,301,0.1663
10,330,311,0.1593
10,340,321,0.1529
10,350,331,0.147
10,360,341,0.1415
10,370,351,0.1364
10,380,361,0.1316
10,390,371,0.1272
10,400,381,0.123
10,410,391,0.1191
10,420,401,0.1154
10,430,411,0.112
10,440,421,0.1087
10,450,431,0.1057
10,460,441,0.1028
10,470,451,0.1
10,480,461,0.0974
10,490,471,0.0949
10,500,481,0.0926
10,510,491,0.0903
10,520,501,0.0882
10,530,511,0.0862
10,540,521,0.0842
10,550,531,0.0824
10,560,541,0.0806
10,570,551,0.0789
10,580,561,0.0772
10,590,571,0.0757
10,600,581,0.0741
10,610,591,0.0727
10,620,601,0.0713
10,630,611,0.07
10,640,621,0.0687
10,650,631,0.0674
10,660,641,0.0662
10,670,651,0.065
10,680,661,0.0639
10,690,671,0.0628
10,700,681,0.0618
10,710,691,0.0608
10,720,701,0.0598
10,730,711,0.0588
10,740,721,0.0579
10,750,731,0.057
10,760,741,0.0562
10,770,751,0.0553
10,780,761,0.0545
10,790,771,0.0537
10,800,781,0.053
10,810,791,0.0522
10,820,801,0.0515
10,830,811,0.0508
10,840,821,0.0501
10,850,831,0.0494
10,860,841,0.0488
10,870,851,0.0481
10,880,861,0.0475
10,890,871,0.0469
10,900,881,0.0463
10,910,891,0.0457
10,920,901,0.0452
10,930,911,0.0446
10,940,921,0.0441
10,950,931,0.0436
10,960,941,0.0431
10,970,951,0.0426
10,980,961,0.0421
10,990,971,0.0416
10,1000,981,0.0412
20,80,41,52380.9334
20,90,51,10326.8834
20,100,61,2903.0531
20,110,71,1052.872
20,120,81,460.5358
20,130,91,231.942
20,140,101,130.1782
20,150,111,79.5277
20,160,121,51.9756
20,170,131,35.8705
20,180,141,25.8838
20,190,151,19.3792
20,200,161,14.9636
20,210,171,11.8588
20,220,181,9.6089
20,230,191,7.9354
20,240,201,6.662
20,250,211,5.6735
20,260,221,4.8925
20,270,231,4.2658
20,280,241,3.7559
20,290,251,3.3356
20,300,261,2.9855
20,310,271,2.6907
20,320,281,2.4402
20,330,291,2.2256
20,340,301,2.0403
20,350,311,1.8791
20,360,321,1.7381
20,370,331,1.6139
20,380,341,1.504
20,390,351,1.4062
20,400,361,1.3188
20,410,371,1.2402
20,420,381,1.1694
20,430,391,1.1053
20,440,401,1.047
20,450,411,0.9939
20,460,421,0.9454
20,470,431,0.9009
20,480,441,0.8599
20,490,451,0.8222
20,500,461,0.7872
20,510,471,0.7549
20,520,481,0.7248
20,530,491,0.6969
20,540,501,0.6708
20,550,511,0.6464
20,560,521,0.6236
20,570,531,0.6022
20,580,541,0.5821
20,590,551,0.5632
20,600,561,0.5454
20,610,571,0.5286
20,620,581,0.5127
20,630,591,0.4977
20,640,601,0.4835
20,650,611,0.47
20,660,621,0.4572
20,670,631,0.445
20,680,641,0.4334
20,690,651,0.4224
20,700,661,0.4118
20,710,671,0.4018
20,720,681,0.3922
20,730,691,0.383
20,740,701,0.3742
20,750,711,0.3658
20,760,721,0.3577
20,770,731,0.35
20,780,741,0.3426
20,790,751,0.3354
20,800,761,0.3286
20,810,771,0.322
20,820,781,0.3156
20,830,791,0.3095
20,840,801,0.3036
20,850,811,0.2979
20,860,821,0.2924
20,870,831,0.2872
20,880,841,0.282
20,890,851,0.2771
20,900,861,0.2723
20,910,871,0.2677
20,920,881,0.2632
20,930,891,0.2589
20,940,901,0.2546
20,950,911,0.2506
20,960,921,0.2466
20,970,931,0.2428
20,980,941,0.2391
20,990,951,0.2355
20,1000,961,0.2319
30,120,61,29501342.5271
30,130,71,5376408.7563
30,140,81,1278994.2004
30,150,91,376018.4551
30,160,101,131053.1672
30,170,111,52448.089
30,180,121,23513.8646
30,190,131,11583.1937
30,200,141,6174.3799
30,210,151,3518.0512
30,220,161,2121.5866
30,230,171,1343.2866
